date,store_id,product_id,sales,promotions
2022-01-01,1,1,188.84,0
2022-01-01,1,2,225.3,0
2022-01-01,1,3,239.7,0
2022-01-01,2,1,240.67,0
2022-01-01,2,2,231.8,0
2022-01-01,2,3,247.64,0
2022-01-02,1,1,166.89,0
2022-01-02,1,2,235.34,0
2022-01-02,1,3,229.66,0
2022-01-02,2,1,214.95,0
2022-01-02,2,2,231.64,0
2022-01-02,2,3,265.05,0
2022-01-03,1,1,188.48,0
2022-01-03,1,2,193.92,0
2022-01-03,1,3,207.64,0
2022-01-03,2,1,220.86,0
2022-01-03,2,2,206.33,0
2022-01-03,2,3,234.22,0
2022-01-04,1,1,183.77,0
2022-01-04,1,2,208.05,0
2022-01-04,1,3,258.89,0
2022-01-04,2,1,225.12,0
2022-01-04,2,2,265.49,1
2022-01-04,2,3,290.44,1
2022-01-05,1,1,172.64,0
2022-01-05,1,2,179.03,0
2022-01-05,1,3,197.58,0
2022-01-05,2,1,194.57,0
2022-01-05,2,2,231.51,0
2022-01-05,2,3,251.1,0
2022-01-06,1,1,135.24,0
2022-01-06,1,2,143.99,0
2022-01-06,1,3,185.72,1
2022-01-06,2,1,174.84,0
2022-01-06,2,2,191.04,0
2022-01-06,2,3,174.87,0
2022-01-07,1,1,163.34,1
2022-01-07,1,2,152.77,0
2022-01-07,1,3,191.34,0
2022-01-07,2,1,163.98,0
2022-01-07,2,2,167.93,0
2022-01-07,2,3,187.99,0
2022-01-08,1,1,138.19,0
2022-01-08,1,2,190.11,0
2022-01-08,1,3,221.45,1
2022-01-08,2,1,157.04,0
2022-01-08,2,2,191.29,0
2022-01-08,2,3,203.07,0
2022-01-09,1,1,207.55,1
2022-01-09,1,2,232.4,1
2022-01-09,1,3,210.61,0
2022-01-09,2,1,222.66,1
2022-01-09,2,2,191.18,0
2022-01-09,2,3,204.51,0
2022-01-10,1,1,100.76,0
2022-01-10,1,2,160.77,0
2022-01-10,1,3,177.38,0
2022-01-10,2,1,158.1,0
2022-01-10,2,2,161.44,0
2022-01-10,2,3,251.65,1
2022-01-11,1,1,180.87,1
2022-01-11,1,2,131.04,0
2022-01-11,1,3,172.68,0
2022-01-11,2,1,154.66,0
2022-01-11,2,2,183.31,0
2022-01-11,2,3,187.26,0
2022-01-12,1,1,146.8,0
2022-01-12,1,2,156.59,0
2022-01-12,1,3,160.07,0
2022-01-12,2,1,173.3,0
2022-01-12,2,2,197.78,0
2022-01-12,2,3,212.59,0
2022-01-13,1,1,134.86,0
2022-01-13,1,2,171.11,0
2022-01-13,1,3,197.86,0
2022-01-13,2,1,175.36,0
2022-01-13,2,2,186.99,0
2022-01-13,2,3,173.91,0
2022-01-14,1,1,152.12,0
2022-01-14,1,2,155.4,0
2022-01-14,1,3,167.46,0
2022-01-14,2,1,171.15,0
2022-01-14,2,2,198.27,0
2022-01-14,2,3,230.9,0
2022-01-15,1,1,141.76,0
2022-01-15,1,2,196.22,0
2022-01-15,1,3,202.63,0
2022-01-15,2,1,201.62,0
2022-01-15,2,2,201.75,0
2022-01-15,2,3,226.07,0
2022-01-16,1,1,166.53,0
2022-01-16,1,2,160.66,0
2022-01-16,1,3,204.93,0
2022-01-16,2,1,169.59,0
2022-01-16,2,2,210.46,0
2022-01-16,2,3,232.93,0
2022-01-17,1,1,131.44,0
2022-01-17,1,2,161.64,0
2022-01-17,1,3,187.63,0
2022-01-17,2,1,160.86,0
2022-01-17,2,2,220.47,0
2022-01-17,2,3,195.86,0
2022-01-18,1,1,130.55,0
2022-01-18,1,2,174.66,0
2022-01-18,1,3,173.14,0
2022-01-18,2,1,216.1,1
2022-01-18,2,2,213.21,1
2022-01-18,2,3,206.65,0
2022-01-19,1,1,171.65,1
2022-01-19,1,2,152.84,0
2022-01-19,1,3,224.99,1
2022-01-19,2,1,191.98,0
2022-01-19,2,2,196.4,0
2022-01-19,2,3,196.31,0
2022-01-20,1,1,131.69,0
2022-01-20,1,2,181.81,0
2022-01-20,1,3,180.64,0
2022-01-20,2,1,209.93,1
2022-01-20,2,2,202.64,0
2022-01-20,2,3,196.19,0
2022-01-21,1,1,150.09,0
2022-01-21,1,2,164.25,0
2022-01-21,1,3,179.09,0
2022-01-21,2,1,153.77,0
2022-01-21,2,2,154.78,0
2022-01-21,2,3,201.97,0
2022-01-22,1,1,153.74,0
2022-01-22,1,2,177.12,0
2022-01-22,1,3,205.39,0
2022-01-22,2,1,168.08,0
2022-01-22,2,2,237.98,0
2022-01-22,2,3,244.79,0
2022-01-23,1,1,167.9,0
2022-01-23,1,2,189.3,0
2022-01-23,1,3,191.0,0
2022-01-23,2,1,162.63,0
2022-01-23,2,2,191.09,0
2022-01-23,2,3,242.59,0
2022-01-24,1,1,152.96,0
2022-01-24,1,2,139.01,0
2022-01-24,1,3,183.85,0
2022-01-24,2,1,192.96,0
2022-01-24,2,2,172.23,0
2022-01-24,2,3,179.0,0
2022-01-25,1,1,145.15,0
2022-01-25,1,2,191.8,0
2022-01-25,1,3,159.29,0
2022-01-25,2,1,167.14,0
2022-01-25,2,2,206.86,0
2022-01-25,2,3,218.56,0
2022-01-26,1,1,150.11,0
2022-01-26,1,2,239.45,1
2022-01-26,1,3,176.2,0
2022-01-26,2,1,170.15,0
2022-01-26,2,2,195.77,1
2022-01-26,2,3,218.44,0
